Road,Lane,Hour,Direction,Valid,Date,Average_Speed,Average_Occupancy,Total_Volume
Kwun Tong Road Westbound,Fast Lane,23,North West,Y,2025-02-28,58.81666666666667,1.9333333333333333,160
Kwun Tong Road Westbound,Middle Lane 1,23,North West,Y,2025-02-28,54.625,3.0208333333333335,154
Kwun Tong Road Westbound,Middle Lane 2,23,North West,Y,2025-02-28,55.020833333333336,1.5416666666666667,126
Kwun Tong Road Westbound,Slow Lane,23,North West,Y,2025-02-28,46.86666666666667,2.8666666666666667,82
Kwun Tong Road Westbound,Fast Lane,23,North,Y,2025-02-28,72.91666666666667,2.9166666666666665,50
Kwun Tong Road Westbound,Middle Lane,23,North,Y,2025-02-28,68.91666666666667,1.6666666666666667,35
Kwun Tong Road Westbound,Slow Lane,23,North,Y,2025-02-28,65.66666666666667,2.0,11
Kwun Tong Road Westbound,Middle Lane 3,23,North West,Y,2025-02-28,69.66666666666667,0.75,34
Kwun Tong Road Westbound,Middle Lane 4,23,North West,Y,2025-02-28,68.75,2.5833333333333335,76
Kwun Tong Road Eastbound,Fast Lane,23,South East,Y,2025-02-28,63.361111111111114,3.4166666666666665,274
Kwun Tong Road Eastbound,Middle Lane,23,South East,Y,2025-02-28,56.583333333333336,3.0,97
Kwun Tong Road Eastbound,Slow Lane,23,South East,Y,2025-02-28,53.361111111111114,2.611111111111111,170
Kwun Tong Road Eastbound,Middle Lane 1,23,South East,Y,2025-02-28,58.47222222222222,1.9722222222222223,73
Kwun Tong Road Eastbound,Middle Lane 2,23,South East,Y,2025-02-28,60.416666666666664,5.222222222222222,151
Kwun Tong Road Eastbound,Fast Lane,23,South,Y,2025-02-28,70.125,4.666666666666667,173
Kwun Tong Road Eastbound,Middle Lane,23,South,Y,2025-02-28,62.166666666666664,1.8333333333333333,49
Kwun Tong Road Eastbound,Slow Lane,23,South,Y,2025-02-28,60.083333333333336,1.0416666666666667,15
New Clear Water Bay Road Eastbound,Fast Lane,23,East,Y,2025-02-28,70.29166666666667,1.4166666666666667,29
New Clear Water Bay Road Eastbound,Middle Lane,23,East,Y,2025-02-28,65.0,2.5,22
New Clear Water Bay Road Eastbound,Slow Lane,23,East,Y,2025-02-28,73.20833333333333,1.4166666666666667,19
New Clear Water Bay Road Eastbound,Fast Lane,23,North West,Y,2025-02-28,58.916666666666664,0.25,6
New Clear Water Bay Road Eastbound,Slow Lane,23,North West,Y,2025-02-28,53.166666666666664,1.8333333333333333,14
New Clear Water Bay Road Eastbound,Fast Lane,23,South East,Y,2025-02-28,76.75,2.8333333333333335,24
New Clear Water Bay Road Eastbound,Middle Lane,23,South East,Y,2025-02-28,73.41666666666667,2.25,23
New Clear Water Bay Road Eastbound,Slow Lane,23,South East,Y,2025-02-28,68.33333333333333,1.3333333333333333,3
New Clear Water Bay Road Westbound,Fast Lane,23,South,Y,2025-02-28,64.91666666666667,3.1666666666666665,21
New Clear Water Bay Road Westbound,Fast Lane,23,North West,Y,2025-02-28,55.666666666666664,3.1666666666666665,24
New Clear Water Bay Road Westbound,Slow Lane,23,North West,Y,2025-02-28,66.08333333333333,2.0833333333333335,21
New Clear Water Bay Road Westbound,Fast Lane,23,West,Y,2025-02-28,69.875,3.125,45
New Clear Water Bay Road Westbound,Slow Lane,23,West,Y,2025-02-28,62.0,2.0833333333333335,16
Prince Edward Road Northeastbound,Fast Lane,23,North East,Y,2025-02-28,75.375,1.8333333333333333,56
Prince Edward Road Northeastbound,Slow Lane,23,North East,Y,2025-02-28,71.70833333333333,3.3333333333333335,68
Prince Edward Road Northeastbound,Middle Lane,23,North East,Y,2025-02-28,85.0,3.0,32
Prince Edward Road Southeastbound,Fast Lane,23,South West,Y,2025-02-28,83.16666666666667,5.583333333333333,51
Prince Edward Road Southeastbound,Slow Lane,23,South West,Y,2025-02-28,75.75,1.0833333333333333,13
Kwun Tong Road Westbound,Fast Lane,00,North West,Y,2025-02-28,56.9,2.4,30
Kwun Tong Road Westbound,Middle Lane 1,00,North West,Y,2025-02-28,55.625,1.875,18
Kwun Tong Road Westbound,Middle Lane 2,00,North West,Y,2025-02-28,55.625,1.5,18
Kwun Tong Road Westbound,Slow Lane,00,North West,Y,2025-02-28,48.3,1.0,11
Kwun Tong Road Westbound,Fast Lane,00,North,Y,2025-02-28,74.0,4.0,11
Kwun Tong Road Westbound,Middle Lane,00,North,Y,2025-02-28,69.5,3.5,10
Kwun Tong Road Westbound,Slow Lane,00,North,Y,2025-02-28,44.5,0.5,3
Kwun Tong Road Westbound,Middle Lane 3,00,North West,Y,2025-02-28,49.5,0.5,3
Kwun Tong Road Westbound,Middle Lane 4,00,North West,Y,2025-02-28,67.0,4.0,10
Kwun Tong Road Eastbound,Fast Lane,00,South East,Y,2025-02-28,61.166666666666664,3.4166666666666665,46
Kwun Tong Road Eastbound,Middle Lane,00,South East,Y,2025-02-28,56.5,3.0,16
Kwun Tong Road Eastbound,Slow Lane,00,South East,Y,2025-02-28,56.416666666666664,1.5833333333333333,20
Kwun Tong Road Eastbound,Middle Lane 1,00,South East,Y,2025-02-28,53.166666666666664,3.8333333333333335,15
Kwun Tong Road Eastbound,Middle Lane 2,00,South East,Y,2025-02-28,56.833333333333336,6.0,22
Kwun Tong Road Eastbound,Fast Lane,00,South,Y,2025-02-28,66.0,6.5,34
Kwun Tong Road Eastbound,Middle Lane,00,South,Y,2025-02-28,57.0,1.25,6
Kwun Tong Road Eastbound,Slow Lane,00,South,Y,2025-02-28,54.0,1.25,2
New Clear Water Bay Road Eastbound,Fast Lane,00,East,Y,2025-02-28,71.5,1.25,5
New Clear Water Bay Road Eastbound,Middle Lane,00,East,Y,2025-02-28,67.0,3.5,6
New Clear Water Bay Road Eastbound,Slow Lane,00,East,Y,2025-02-28,65.0,1.75,6
New Clear Water Bay Road Eastbound,Fast Lane,00,North West,Y,2025-02-28,70.0,0.0,0
New Clear Water Bay Road Eastbound,Slow Lane,00,North West,Y,2025-02-28,60.5,1.0,2
New Clear Water Bay Road Eastbound,Fast Lane,00,South East,Y,2025-02-28,79.0,0.5,1
New Clear Water Bay Road Eastbound,Middle Lane,00,South East,Y,2025-02-28,63.0,1.5,3
New Clear Water Bay Road Eastbound,Slow Lane,00,South East,Y,2025-02-28,70.0,0.0,1
New Clear Water Bay Road Westbound,Fast Lane,00,South,Y,2025-02-28,57.0,4.5,5
New Clear Water Bay Road Westbound,Fast Lane,00,North West,Y,2025-02-28,58.0,6.0,7
New Clear Water Bay Road Westbound,Slow Lane,00,North West,Y,2025-02-28,26.5,2.5,4
New Clear Water Bay Road Westbound,Fast Lane,00,West,Y,2025-02-28,80.5,2.5,7
New Clear Water Bay Road Westbound,Slow Lane,00,West,Y,2025-02-28,50.0,2.5,2
