Road,Lane,Hour,Direction,Valid,Date,Average_Speed,Average_Occupancy,Total_Volume,,No
Kwun Tong Road Westbound,Fast Lane,0,North West,Y,1/3/2025,60.15,1.56,879,,No
Kwun Tong Road Westbound,Middle Lane 1,0,North West,Y,1/3/2025,56.678125,2.115625,983,,No
Kwun Tong Road Westbound,Middle Lane 2,0,North West,Y,1/3/2025,56.26875,1.265625,605,,No
Kwun Tong Road Westbound,Slow Lane,0,North West,Y,1/3/2025,55.205,1.165,463,,No
Kwun Tong Road Westbound,Fast Lane,0,North,Y,1/3/2025,76.025,2.4625,279,,No
Kwun Tong Road Westbound,Middle Lane,0,North,Y,1/3/2025,69.4625,1.7125,241,,No
Kwun Tong Road Westbound,Slow Lane,0,North,Y,1/3/2025,63.1875,1.825,65,,No
Kwun Tong Road Westbound,Middle Lane 3,0,North West,Y,1/3/2025,70.25,1.0375,164,,No
Kwun Tong Road Westbound,Middle Lane 4,0,North West,Y,1/3/2025,69.425,2.7125,436,,No
Kwun Tong Road Eastbound,Fast Lane,0,South East,Y,1/3/2025,63.97291667,2.954166667,1580,,No
Kwun Tong Road Eastbound,Middle Lane,0,South East,Y,1/3/2025,55.99166667,3,567,,No
Kwun Tong Road Eastbound,Slow Lane,0,South East,Y,1/3/2025,55.44791667,2.079166667,975,,No
Kwun Tong Road Eastbound,Middle Lane 1,0,South East,Y,1/3/2025,56.89166667,2.029166667,402,,No
Kwun Tong Road Eastbound,Middle Lane 2,0,South East,Y,1/3/2025,59.95833333,4.566666667,952,,No
Kwun Tong Road Eastbound,Fast Lane,0,South,Y,1/3/2025,69.93125,3.53125,897,,No
Kwun Tong Road Eastbound,Middle Lane,0,South,Y,1/3/2025,62.325,1.51875,304,,No
Kwun Tong Road Eastbound,Slow Lane,0,South,Y,1/3/2025,57.49375,0.99375,85,,No
New Clear Water Bay Road Eastbound,Fast Lane,0,East,Y,1/3/2025,69.84810127,1.132911392,138,,No
New Clear Water Bay Road Eastbound,Middle Lane,0,East,Y,1/3/2025,65.43037975,3.151898734,159,,No
New Clear Water Bay Road Eastbound,Slow Lane,0,East,Y,1/3/2025,69.93037975,1.392405063,114,,No
New Clear Water Bay Road Eastbound,Fast Lane,0,North West,Y,1/3/2025,65.06329114,0.291139241,21,,No
New Clear Water Bay Road Eastbound,Slow Lane,0,North West,Y,1/3/2025,57.11392405,1.493670886,78,,No
New Clear Water Bay Road Eastbound,Fast Lane,0,South East,Y,1/3/2025,72.36708861,2.202531646,122,,No
New Clear Water Bay Road Eastbound,Middle Lane,0,South East,Y,1/3/2025,72.98734177,2.455696203,164,,No
New Clear Water Bay Road Eastbound,Slow Lane,0,South East,Y,1/3/2025,65.11392405,1.316455696,18,,No
New Clear Water Bay Road Westbound,Fast Lane,0,South,Y,1/3/2025,58.92207792,1.883116883,82,,No
New Clear Water Bay Road Westbound,Fast Lane,0,North West,Y,1/3/2025,56.49367089,1.848101266,91,,No
New Clear Water Bay Road Westbound,Slow Lane,0,North West,Y,1/3/2025,56.4556962,2.113924051,121,,No
New Clear Water Bay Road Westbound,Fast Lane,0,West,Y,1/3/2025,72.06962025,1.607594937,189,,No
New Clear Water Bay Road Westbound,Slow Lane,0,West,Y,1/3/2025,62.32911392,1.746835443,100,,No
Prince Edward Road Northeastbound,Fast Lane,0,North East,Y,1/3/2025,77.06410256,1.788461538,335,,No
Prince Edward Road Northeastbound,Slow Lane,0,North East,Y,1/3/2025,72.76923077,3.493589744,431,,No
Prince Edward Road Northeastbound,Middle Lane,0,North East,Y,1/3/2025,85.57142857,3.090909091,203,,No
Prince Edward Road Southeastbound,Fast Lane,0,South West,Y,1/3/2025,84.40506329,4.139240506,286,,No
Prince Edward Road Southeastbound,Slow Lane,0,South West,Y,1/3/2025,84.75949367,1.139240506,96,,No
Kwun Tong Road Westbound,Fast Lane,1,North West,Y,1/3/2025,60.46444444,1.204444444,728,,No
Kwun Tong Road Westbound,Middle Lane 1,1,North West,Y,1/3/2025,58.86944444,1.397222222,916,,No
Kwun Tong Road Westbound,Middle Lane 2,1,North West,Y,1/3/2025,58.33611111,0.880555556,527,,No
Kwun Tong Road Westbound,Slow Lane,1,North West,Y,1/3/2025,56.05555556,0.842222222,323,,No
Kwun Tong Road Westbound,Fast Lane,1,North,Y,1/3/2025,75.97777778,1.522222222,214,,No
Kwun Tong Road Westbound,Middle Lane,1,North,Y,1/3/2025,70.75555556,1.444444444,221,,No
Kwun Tong Road Westbound,Slow Lane,1,North,Y,1/3/2025,67.81111111,0.255555556,35,,No
Kwun Tong Road Westbound,Middle Lane 3,1,North West,Y,1/3/2025,70.97777778,0.677777778,160,,No
Kwun Tong Road Westbound,Middle Lane 4,1,North West,Y,1/3/2025,71,2.177777778,381,,No
Kwun Tong Road Eastbound,Fast Lane,1,South East,Y,1/3/2025,66.78888889,1.992592593,1332,,No
Kwun Tong Road Eastbound,Middle Lane,1,South East,Y,1/3/2025,57.83703704,1.711111111,527,,No
Kwun Tong Road Eastbound,Slow Lane,1,South East,Y,1/3/2025,58.25925926,1.292592593,859,,No
Kwun Tong Road Eastbound,Middle Lane 1,1,South East,Y,1/3/2025,60.03333333,1.007407407,409,,No
Kwun Tong Road Eastbound,Middle Lane 2,1,South East,Y,1/3/2025,63.68148148,3.52962963,933,,No
Kwun Tong Road Eastbound,Fast Lane,1,South,Y,1/3/2025,71.93103448,2.724137931,767,,No
Kwun Tong Road Eastbound,Middle Lane,1,South,Y,1/3/2025,64.64367816,0.91954023,250,,No
Kwun Tong Road Eastbound,Slow Lane,1,South,Y,1/3/2025,60.31609195,0.33908046,65,,No
New Clear Water Bay Road Eastbound,Fast Lane,1,East,Y,1/3/2025,70.16477273,0.596590909,100,,No
New Clear Water Bay Road Eastbound,Middle Lane,1,East,Y,1/3/2025,65.06666667,2.333333333,154,,No
New Clear Water Bay Road Eastbound,Slow Lane,1,East,Y,1/3/2025,72.05681818,0.823863636,99,,No
New Clear Water Bay Road Eastbound,Fast Lane,1,North West,Y,1/3/2025,67.28888889,0.166666667,17,,No
New Clear Water Bay Road Eastbound,Slow Lane,1,North West,Y,1/3/2025,60.56666667,0.722222222,63,,No
New Clear Water Bay Road Eastbound,Fast Lane,1,South East,Y,1/3/2025,73.56666667,1.355555556,88,,No
New Clear Water Bay Road Eastbound,Middle Lane,1,South East,Y,1/3/2025,72.94444444,1.988888889,157,,No
